RANKING,CD_GEOCODM,MUNICÍPIO,ESTADO,IDHM,RENDA,LONGEVIDADE,EDUCACAO
4416,150549,PALESTINA DO PARÁ,PA,0.589,0.574,0.761,0.467
3201,150550,PARAGOMINAS,PA,0.645,0.667,0.781,0.514
1454,150553,PARAUAPEBAS,PA,0.715,0.701,0.809,0.644
4764,150555,PAU D'ARCO,PA,0.574,0.571,0.748,0.443
4614,150560,PEIXE-BOI,PA,0.581,0.543,0.754,0.478
4984,150563,PIÇARRA,PA,0.563,0.561,0.792,0.402
5169,150565,PLACAS,PA,0.552,0.541,0.77,0.404
5002,150570,PONTA DE PEDRAS,PA,0.562,0.558,0.773,0.412
5553,150580,PORTEL,PA,0.483,0.513,0.767,0.286
5520,150590,PORTO DE MOZ,PA,0.503,0.512,0.77,0.322
5444,150600,PRAINHA,PA,0.523,0.512,0.779,0.359
4695,150610,PRIMAVERA,PA,0.577,0.571,0.772,0.435
5288,150611,QUATIPURU,PA,0.543,0.55,0.732,0.397
2621,150613,REDENÇÃO,PA,0.672,0.674,0.804,0.561
3333,150616,RIO MARIA,PA,0.638,0.651,0.804,0.495
4101,150618,RONDON DO PARÁ,PA,0.602,0.606,0.788,0.457
5225,150619,RURÓPOLIS,PA,0.548,0.548,0.764,0.392
3172,150620,SALINÓPOLIS,PA,0.647,0.628,0.798,0.541
3957,150630,SALVATERRA,PA,0.608,0.58,0.793,0.488
3534,150635,SANTA BÁRBARA DO PARÁ,PA,0.627,0.575,0.784,0.546
5098,150640,SANTA CRUZ DO ARARI,PA,0.557,0.483,0.775,0.461
2924,150650,SANTA ISABEL DO PARÁ,PA,0.659,0.622,0.798,0.576
5253,150655,SANTA LUZIA DO PARÁ,PA,0.546,0.53,0.724,0.424
5277,150658,SANTA MARIA DAS BARREIRAS,PA,0.544,0.555,0.783,0.37
4198,150660,SANTA MARIA DO PARÁ,PA,0.598,0.595,0.764,0.471
4101,150670,SANTANA DO ARAGUAIA,PA,0.602,0.591,0.774,0.478
2161,150680,SANTARÉM,PA,0.691,0.632,0.807,0.648
4467,150690,SANTARÉM NOVO,PA,0.587,0.52,0.774,0.502
3448,150700,SANTO ANTÔNIO DO TAUÁ,PA,0.632,0.598,0.753,0.561
4515,150710,SÃO CAETANO DE ODIVELAS,PA,0.585,0.552,0.767,0.473
4284,150715,SÃO DOMINGOS DO ARAGUAIA,PA,0.594,0.629,0.738,0.451
5382,150720,SÃO DOMINGOS DO CAPIM,PA,0.532,0.509,0.773,0.382
4284,150730,SÃO FÉLIX DO XINGU,PA,0.594,0.638,0.798,0.411
3957,150740,SÃO FRANCISCO DO PARÁ,PA,0.608,0.571,0.785,0.502
4255,150745,SÃO GERALDO DO ARAGUAIA,PA,0.595,0.594,0.793,0.447
4562,150746,SÃO JOÃO DA PONTA,PA,0.583,0.522,0.767,0.495
5332,150747,SÃO JOÃO DE PIRABAS,PA,0.539,0.529,0.753,0.393
5194,150750,SÃO JOÃO DO ARAGUAIA,PA,0.55,0.53,0.741,0.424
4372,150760,SÃO MIGUEL DO GUAMÁ,PA,0.591,0.582,0.752,0.471
5081,150770,SÃO SEBASTIÃO DA BOA VISTA,PA,0.558,0.52,0.76,0.439
4395,150775,SAPUCAIA,PA,0.59,0.639,0.792,0.405
5487,150780,SENADOR JOSÉ PORFÍRIO,PA,0.514,0.533,0.754,0.338
3796,150790,SOURE,PA,0.615,0.583,0.76,0.525
4444,150795,TAILÂNDIA,PA,0.588,0.583,0.776,0.45
4029,150796,TERRA ALTA,PA,0.605,0.555,0.743,0.536
3393,150797,TERRA SANTA,PA,0.635,0.602,0.763,0.558
4495,150800,TOMÉ-AÇU,PA,0.586,0.596,0.798,0.424
5390,150803,TRACUATEUA,PA,0.531,0.514,0.776,0.376
5002,150805,TRAIRÃO,PA,0.562,0.594,0.763,0.392
2924,150808,TUCUMÃ,PA,0.659,0.67,0.813,0.525
2759,150810,TUCURUÍ,PA,0.666,0.675,0.8,0.548
4055,150812,ULIANÓPOLIS,PA,0.604,0.682,0.759,0.425
4416,150815,URUARÁ,PA,0.589,0.609,0.798,0.42
3756,150820,VIGIA,PA,0.617,0.594,0.768,0.516
5481,150830,VISEU,PA,0.515,0.482,0.776,0.366
4238,150835,VITÓRIA DO XINGU,PA,0.596,0.594,0.792,0.451
3186,150840,XINGUARA,PA,0.646,0.671,0.8,0.503
4802,250010,ÁGUA BRANCA,PB,0.572,0.542,0.712,0.484
4215,250020,AGUIAR,PB,0.597,0.632,0.753,0.447
4590,250030,ALAGOA GRANDE,PB,0.582,0.576,0.797,0.43
4718,250040,ALAGOA NOVA,PB,0.576,0.567,0.749,0.451
4255,250050,ALAGOINHA,PB,0.595,0.574,0.795,0.462
4670,250053,ALCANTIL,PB,0.578,0.55,0.765,0.458
5225,250057,ALGODÃO DE JANDAÍRA,PB,0.548,0.532,0.749,0.413
4590,250060,ALHANDRA,PB,0.582,0.544,0.778,0.465
3999,250073,AMPARO,PB,0.606,0.537,0.752,0.551
4670,250077,APARECIDA,PB,0.578,0.567,0.747,0.456
5209,250080,ARAÇAGI,PB,0.549,0.54,0.745,0.412
5225,250090,ARARA,PB,0.548,0.569,0.712,0.407
4903,250100,ARARUNA,PB,0.567,0.549,0.758,0.439
4284,250110,AREIA,PB,0.594,0.593,0.756,0.467
5002,250115,AREIA DE BARAÚNAS,PB,0.562,0.566,0.68,0.462
3957,250120,AREIAL,PB,0.608,0.573,0.779,0.503
5225,250130,AROEIRAS,PB,0.548,0.537,0.745,0.411
3927,250135,ASSUNÇÃO,PB,0.609,0.601,0.738,0.51
4614,250140,BAÍA DA TRAIÇÃO,PB,0.581,0.541,0.731,0.495
4884,250150,BANANEIRAS,PB,0.568,0.555,0.766,0.43
5081,250153,BARAÚNA,PB,0.558,0.526,0.718,0.459
5002,250160,BARRA DE SANTA ROSA,PB,0.562,0.542,0.753,0.434
4903,250157,BARRA DE SANTANA,PB,0.567,0.526,0.747,0.465
4802,250170,BARRA DE SÃO MIGUEL,PB,0.572,0.584,0.728,0.44
3136,250180,BAYEUX,PB,0.649,0.619,0.779,0.566
4331,250190,BELÉM,PB,0.592,0.557,0.759,0.492
4670,250200,BELÉM DO BREJO DO CRUZ,PB,0.578,0.55,0.779,0.451
5081,250205,BERNARDINO BATISTA,PB,0.558,0.526,0.716,0.462
4167,250210,BOA VENTURA,PB,0.599,0.566,0.79,0.48
3136,250215,BOA VISTA,PB,0.649,0.59,0.796,0.582
4215,250220,BOM JESUS,PB,0.597,0.584,0.762,0.477
4331,250230,BOM SUCESSO,PB,0.592,0.558,0.752,0.494
4764,250240,BONITO DE SANTA FÉ,PB,0.574,0.564,0.786,0.427
3984,250250,BOQUEIRÃO,PB,0.607,0.592,0.763,0.496
5081,250270,BORBOREMA,PB,0.558,0.544,0.75,0.426
4215,250280,BREJO DO CRUZ,PB,0.597,0.575,0.798,0.463
3721,250290,BREJO DOS SANTOS,PB,0.619,0.564,0.776,0.541
4101,250300,CAAPORÃ,PB,0.602,0.565,0.757,0.509
3884,250310,CABACEIRAS,PB,0.611,0.574,0.759,0.523
583,250320,CABEDELO,PB,0.748,0.782,0.822,0.651
4467,250330,CACHOEIRA DOS ÍNDIOS,PB,0.587,0.583,0.766,0.453
4238,250340,CACIMBA DE AREIA,PB,0.596,0.553,0.771,0.497
4965,250350,CACIMBA DE DENTRO,PB,0.564,0.551,0.777,0.419
5444,250355,CACIMBAS,PB,0.523,0.501,0.672,0.425
4331,250360,CAIÇARA,PB,0.592,0.58,0.733,0.488
2462,250370,CAJAZEIRAS,PB,0.679,0.668,0.815,0.574
5194,250375,CAJAZEIRINHAS,PB,0.55,0.521,0.773,0.413
4884,250380,CALDAS BRANDÃO,PB,0.568,0.562,0.723,0.451
4903,250390,CAMALAÚ,PB,0.567,0.549,0.77,0.431
1301,250400,CAMPINA GRANDE,PB,0.72,0.702,0.812,0.654
5370,250403,CAPIM,PB,0.533,0.52,0.728,0.4
4515,250407,CARAÚBAS,PB,0.585,0.58,0.71,0.485
4081,250410,CARRAPATEIRA,PB,0.603,0.529,0.765,0.543
5487,250415,CASSERENGUE,PB,0.514,0.492,0.73,0.379
4764,250420,CATINGUEIRA,PB,0.574,0.553,0.753,0.455
3291,250430,CATOLÉ DO ROCHA,PB,0.64,0.617,0.787,0.539
3631,250435,CATURITÉ,PB,0.623,0.617,0.782,0.502
4331,250440,CONCEIÇÃO,PB,0.592,0.577,0.754,0.476
4284,250450,CONDADO,PB,0.594,0.573,0.769,0.476
3735,250460,CONDE,PB,0.618,0.591,0.797,0.5
4614,250470,CONGO,PB,0.581,0.562,0.731,0.477
4331,250480,COREMAS,PB,0.592,0.578,0.794,0.452
3275,250485,COXIXOLA,PB,0.641,0.586,0.794,0.567
5169,250490,CRUZ DO ESPÍRITO SANTO,PB,0.552,0.531,0.778,0.408
4921,250500,CUBATI,PB,0.566,0.545,0.742,0.448
4372,250510,CUITÉ,PB,0.591,0.574,0.766,0.47
5439,250523,CUITÉ DE MAMANGUAPE,PB,0.524,0.529,0.683,0.398
4841,250520,CUITEGI,PB,0.57,0.563,0.732,0.45
5402,250527,CURRAL DE CIMA,PB,0.529,0.528,0.715,0.392
3999,250530,CURRAL VELHO,PB,0.606,0.613,0.739,0.491
5453,250535,DAMIÃO,PB,0.521,0.503,0.72,0.391
4638,250540,DESTERRO,PB,0.58,0.551,0.724,0.49
4309,250560,DIAMANTE,PB,0.593,0.562,0.748,0.496
5268,250570,DONA INÊS,PB,0.545,0.524,0.69,0.447
4081,250580,DUAS ESTRADAS,PB,0.603,0.565,0.795,0.488
4255,250590,EMAS,PB,0.595,0.554,0.773,0.492
3631,250600,ESPERANÇA,PB,0.623,0.598,0.767,0.526
5049,250610,FAGUNDES,PB,0.56,0.543,0.749,0.432
3275,250620,FREI MARTINHO,PB,0.641,0.631,0.77,0.542
5490,250625,GADO BRAVO,PB,0.513,0.491,0.737,0.373
2598,250630,GUARABIRA,PB,0.673,0.641,0.812,0.586
5116,250640,GURINHÉM,PB,0.556,0.544,0.728,0.435
3587,250650,GURJÃO,PB,0.625,0.576,0.729,0.581
4495,250660,IBIARA,PB,0.586,0.548,0.768,0.479
3902,250260,IGARACY,PB,0.61,0.575,0.794,0.496
5098,250670,IMACULADA,PB,0.557,0.524,0.715,0.461
4331,250680,INGÁ,PB,0.592,0.573,0.768,0.471
3847,250690,ITABAIANA,PB,0.613,0.592,0.727,0.536
3796,250700,ITAPORANGA,PB,0.615,0.607,0.742,0.517
4965,250710,ITAPOROROCA,PB,0.564,0.543,0.757,0.437
5002,250720,ITATUBA,PB,0.562,0.549,0.742,0.436
5081,250730,JACARAÚ,PB,0.558,0.554,0.72,0.435
4081,250740,JERICÓ,PB,0.603,0.577,0.798,0.476
320,250750,JOÃO PESSOA,PB,0.763,0.77,0.832,0.693
4654,250760,JUAREZ TÁVORA,PB,0.579,0.544,0.768,0.465
4903,250770,JUAZEIRINHO,PB,0.567,0.557,0.753,0.435
3756,250780,JUNCO DO SERIDÓ,PB,0.617,0.571,0.715,0.576
5225,250790,JURIPIRANGA,PB,0.548,0.544,0.677,0.448
4841,250800,JURU,PB,0.57,0.552,0.758,0.443
4984,250810,LAGOA,PB,0.563,0.533,0.747,0.448
4841,250820,LAGOA DE DENTRO,PB,0.57,0.539,0.772,0.444
3534,250830,LAGOA SECA,PB,0.627,0.621,0.769,0.516
5370,250840,LASTRO,PB,0.533,0.532,0.747,0.38
4921,250850,LIVRAMENTO,PB,0.566,0.523,0.732,0.473
4562,250855,LOGRADOURO,PB,0.583,0.544,0.776,0.47
4562,250860,LUCENA,PB,0.583,0.577,0.734,0.469
5293,250870,MÃE D'ÁGUA,PB,0.542,0.52,0.712,0.429
3254,250880,MALTA,PB,0.642,0.62,0.8,0.533
4515,250890,MAMANGUAPE,PB,0.585,0.585,0.756,0.453
5288,250900,MANAÍRA,PB,0.543,0.537,0.698,0.426
5402,250905,MARCAÇÃO,PB,0.529,0.525,0.691,0.408
5225,250910,MARI,PB,0.548,0.553,0.692,0.429
3957,250915,MARIZÓPOLIS,PB,0.608,0.582,0.753,0.512
4903,250920,MASSARANDUBA,PB,0.567,0.552,0.747,0.441
5354,250930,MATARACA,PB,0.536,0.533,0.675,0.427
5306,250933,MATINHAS,PB,0.541,0.531,0.747,0.4
4941,250937,MATO GROSSO,PB,0.565,0.566,0.76,0.419
4802,250939,MATURÉIA,PB,0.572,0.54,0.73,0.474
4764,250940,MOGEIRO,PB,0.574,0.538,0.732,0.481
4395,250950,MONTADAS,PB,0.59,0.545,0.748,0.505
4467,250960,MONTE HOREBE,PB,0.587,0.579,0.755,0.463
3519,250970,MONTEIRO,PB,0.628,0.625,0.709,0.558
4941,250980,MULUNGU,PB,0.565,0.548,0.778,0.423
5306,250990,NATUBA,PB,0.541,0.516,0.71,0.432
5002,251000,NAZAREZINHO,PB,0.562,0.528,0.747,0.449
4123,251010,NOVA FLORESTA,PB,0.601,0.576,0.758,0.498
4786,251020,NOVA OLINDA,PB,0.573,0.557,0.744,0.453
4255,251030,NOVA PALMEIRA,PB,0.595,0.567,0.762,0.488
4802,251040,OLHO D'ÁGUA,PB,0.572,0.533,0.776,0.452
4081,251050,OLIVEDOS,PB,0.603,0.531,0.766,0.54
3820,251060,OURO VELHO,PB,0.614,0.585,0.764,0.518
4540,251065,PARARI,PB,0.584,0.583,0.733,0.467
3702,251070,PASSAGEM,PB,0.62,0.566,0.79,0.534
1866,251080,PATOS,PB,0.701,0.667,0.821,0.628
4467,251090,PAULISTA,PB,0.587,0.587,0.747,0.461
4167,251100,PEDRA BRANCA,PB,0.599,0.532,0.761,0.532
4764,251110,PEDRA LAVRADA,PB,0.574,0.564,0.733,0.458
4395,251120,PEDRAS DE FOGO,PB,0.59,0.568,0.771,0.468
5293,251272,PEDRO RÉGIS,PB,0.542,0.529,0.754,0.399
3680,251130,PIANCÓ,PB,0.621,0.593,0.736,0.55
3957,251140,PICUÍ,PB,0.608,0.596,0.745,0.506
4654,251150,PILAR,PB,0.579,0.544,0.775,0.461
5049,251160,PILÕES,PB,0.56,0.559,0.767,0.409
4965,251170,PILÕEZINHOS,PB,0.564,0.532,0.802,0.421
4255,251180,PIRPIRITUBA,PB,0.595,0.566,0.745,0.499
4841,251190,PITIMBU,PB,0.57,0.538,0.753,0.456
4372,251200,POCINHOS,PB,0.591,0.556,0.779,0.477
5432,251203,POÇO DANTAS,PB,0.525,0.506,0.702,0.408
3866,251207,POÇO DE JOSÉ DE MOURA,PB,0.612,0.578,0.797,0.497
3407,251210,POMBAL,PB,0.634,0.629,0.787,0.515
3957,251220,PRATA,PB,0.608,0.566,0.772,0.514
3999,251230,PRINCESA ISABEL,PB,0.606,0.6,0.72,0.514
3756,251240,PUXINANÃ,PB,0.617,0.574,0.754,0.542
3957,251250,QUEIMADAS,PB,0.608,0.578,0.796,0.489
3653,251260,QUIXABÁ,PB,0.622,0.564,0.737,0.579
3984,251270,REMÍGIO,PB,0.607,0.592,0.797,0.474
4764,251274,RIACHÃO,PB,0.574,0.515,0.763,0.481
5157,251275,RIACHÃO DO BACAMARTE,PB,0.553,0.561,0.721,0.417
5128,251276,RIACHÃO DO POÇO,PB,0.555,0.537,0.748,0.426
4284,251278,RIACHO DE SANTO ANTÔNIO,PB,0.594,0.569,0.735,0.502
4884,251280,RIACHO DOS CAVALOS,PB,0.568,0.546,0.752,0.447
4515,251290,RIO TINTO,PB,0.585,0.562,0.742,0.48
4984,251300,SALGADINHO,PB,0.563,0.531,0.739,0.454
4884,251310,SALGADO DE SÃO FÉLIX,PB,0.568,0.531,0.77,0.448
5432,251315,SANTA CECÍLIA,PB,0.525,0.515,0.699,0.402
3735,251320,SANTA CRUZ,PB,0.618,0.578,0.779,0.523
3927,251330,SANTA HELENA,PB,0.609,0.57,0.786,0.504
4802,251335,SANTA INÊS,PB,0.572,0.54,0.706,0.492
2386,251340,SANTA LUZIA,PB,0.682,0.62,0.804,0.635
3534,251370,SANTA RITA,PB,0.627,0.597,0.774,0.534
3534,251380,SANTA TERESINHA,PB,0.627,0.586,0.82,0.513
5361,251350,SANTANA DE MANGUEIRA,PB,0.535,0.488,0.756,0.414
4284,251360,SANTANA DOS GARROTES,PB,0.594,0.568,0.772,0.479
3653,251365,SANTARÉM,PB,0.622,0.553,0.765,0.568
4144,251385,SANTO ANDRÉ,PB,0.6,0.568,0.797,0.476
3999,251392,SÃO BENTINHO,PB,0.606,0.575,0.787,0.491
4638,251390,SÃO BENTO,PB,0.58,0.597,0.769,0.424
5225,251396,SÃO DOMINGOS,PB,0.548,0.555,0.754,0.394
4416,251394,SÃO DOMINGOS DO CARIRI,PB,0.589,0.603,0.773,0.438
4638,251398,SÃO FRANCISCO,PB,0.58,0.56,0.726,0.481
3653,251400,SÃO JOÃO DO CARIRI,PB,0.622,0.618,0.797,0.488
3957,250070,SÃO JOÃO DO RIO DO PEIXE,PB,0.608,0.586,0.782,0.49
5169,251410,SÃO JOÃO DO TIGRE,PB,0.552,0.523,0.758,0.424
5395,251420,SÃO JOSÉ DA LAGOA TAPADA,PB,0.53,0.53,0.722,0.389
4941,251430,SÃO JOSÉ DE CAIANA,PB,0.565,0.545,0.762,0.434
4695,251440,SÃO JOSÉ DE ESPINHARAS,PB,0.577,0.543,0.79,0.448
4372,251450,SÃO JOSÉ DE PIRANHAS,PB,0.591,0.594,0.755,0.461
4941,251455,SÃO JOSÉ DE PRINCESA,PB,0.565,0.533,0.765,0.443
4670,251460,SÃO JOSÉ DO BONFIM,PB,0.578,0.549,0.713,0.493
4614,251465,SÃO JOSÉ DO BREJO DO CRUZ,PB,0.581,0.535,0.776,0.473
3756,251470,SÃO JOSÉ DO SABUGI,PB,0.617,0.584,0.781,0.514
5116,251480,SÃO JOSÉ DOS CORDEIROS,PB,0.556,0.542,0.778,0.407
5306,251445,SÃO JOSÉ DOS RAMOS,PB,0.541,0.527,0.738,0.406
3275,251490,SÃO MAMEDE,PB,0.641,0.617,0.765,0.558
5225,251500,SÃO MIGUEL DE TAIPU,PB,0.548,0.516,0.721,0.443
4284,251510,SÃO SEBASTIÃO DE LAGOA DE ROÇA,PB,0.594,0.561,0.795,0.471
4614,251520,SÃO SEBASTIÃO DO UMBUZEIRO,PB,0.581,0.561,0.763,0.459
4869,251530,SAPÉ,PB,0.569,0.563,0.711,0.461
5128,251540,SERIDÓ,PB,0.555,0.528,0.714,0.453
3519,251550,SERRA BRANCA,PB,0.628,0.598,0.77,0.537
3561,251560,SERRA DA RAIZ,PB,0.626,0.57,0.792,0.544
4495,251570,SERRA GRANDE,PB,0.586,0.549,0.745,0.491
4841,251580,SERRA REDONDA,PB,0.57,0.565,0.772,0.424
5244,251590,SERRARIA,PB,0.547,0.536,0.779,0.392
3680,251593,SERTÃOZINHO,PB,0.621,0.554,0.769,0.561
4786,251597,SOBRADO,PB,0.573,0.525,0.753,0.477
4255,251600,SOLÂNEA,PB,0.595,0.592,0.762,0.468
3771,251610,SOLEDADE,PB,0.616,0.598,0.772,0.506
4786,251615,SOSSÊGO,PB,0.573,0.531,0.769,0.46
2716,251620,SOUSA,PB,0.668,0.645,0.814,0.567
3534,251630,SUMÉ,PB,0.627,0.602,0.765,0.534
5186,251640,TACIMA,PB,0.551,0.513,0.726,0.45
4670,251650,TAPEROÁ,PB,0.578,0.564,0.749,0.456
4495,251660,TAVARES,PB,0.586,0.56,0.777,0.462
4029,251670,TEIXEIRA,PB,0.605,0.566,0.741,0.527
4614,251675,TENÓRIO,PB,0.581,0.565,0.707,0.49
3927,251680,TRIUNFO,PB,0.609,0.578,0.78,0.501
3378,251690,UIRAÚNA,PB,0.636,0.612,0.797,0.528
4540,251700,UMBUZEIRO,PB,0.584,0.545,0.712,0.514
1696,251710,VÁRZEA,PB,0.707,0.619,0.8,0.714
4827,251720,VIEIRÓPOLIS,PB,0.571,0.537,0.762,0.455
4921,250550,VISTA SERRANA,PB,0.566,0.554,0.773,0.424
3631,251740,ZABELÊ,PB,0.623,0.567,0.725,0.587
2462,260005,ABREU E LIMA,PE,0.679,0.625,0.791,0.632
2964,260010,AFOGADOS DA INGAZEIRA,PE,0.657,0.623,0.807,0.565
4444,260020,AFRÂNIO,PE,0.588,0.542,0.761,0.493
4331,260030,AGRESTINA,PE,0.592,0.581,0.76,0.47
5157,260040,ÁGUA PRETA,PE,0.553,0.514,0.761,0.432
5426,260050,ÁGUAS BELAS,PE,0.526,0.546,0.691,0.385
4167,260060,ALAGOINHA,PE,0.599,0.569,0.801,0.472
4055,260070,ALIANÇA,PE,0.604,0.565,0.799,0.488
4198,260080,ALTINHO,PE,0.598,0.559,0.792,0.482
4638,260090,AMARAJI,PE,0.58,0.575,0.748,0.454
4802,260100,ANGELIM,PE,0.572,0.555,0.751,0.448
4331,260105,ARAÇOIABA,PE,0.592,0.544,0.765,0.498
4101,260110,ARARIPINA,PE,0.602,0.595,0.785,0.467
2738,260120,ARCOVERDE,PE,0.667,0.654,0.799,0.567
4695,260130,BARRA DE GUABIRABA,PE,0.577,0.558,0.726,0.474
4495,260140,BARREIROS,PE,0.586,0.561,0.73,0.491
4670,260150,BELÉM DE MARIA,PE,0.578,0.537,0.749,0.479
3254,260160,BELÉM DO SÃO FRANCISCO,PE,0.642,0.611,0.784,0.553
3501,260170,BELO JARDIM,PE,0.629,0.617,0.783,0.514
5066,260180,BETÂNIA,PE,0.559,0.533,0.742,0.441
3999,260190,BEZERROS,PE,0.606,0.608,0.752,0.487
4941,260200,BODOCÓ,PE,0.565,0.543,0.745,0.445
4984,260210,BOM CONSELHO,PE,0.563,0.585,0.704,0.433
4101,260220,BOM JARDIM,PE,0.602,0.552,0.767,0.515
5027,260230,BONITO,PE,0.561,0.559,0.754,0.42
5244,260240,BREJÃO,PE,0.547,0.54,0.725,0.417
4764,260250,BREJINHO,PE,0.574,0.563,0.681,0.493
5002,260260,BREJO DA MADRE DE DEUS,PE,0.562,0.581,0.734,0.417
4309,260270,BUENOS AIRES,PE,0.593,0.556,0.778,0.481
5416,260280,BUÍQUE,PE,0.527,0.497,0.746,0.395
2282,260290,CABO DE SANTO AGOSTINHO,PE,0.686,0.654,0.812,0.609
3631,260300,CABROBÓ,PE,0.623,0.581,0.773,0.539
4654,260310,CACHOEIRINHA,PE,0.579,0.587,0.753,0.439
5449,260320,CAETÉS,PE,0.522,0.497,0.732,0.392
4921,260330,CALÇADO,PE,0.566,0.529,0.731,0.468
4827,260340,CALUMBI,PE,0.571,0.567,0.715,0.46
2134,260345,CAMARAGIBE,PE,0.692,0.656,0.805,0.628
4444,260350,CAMOCIM DE SÃO FÉLIX,PE,0.588,0.585,0.738,0.472
3999,260360,CAMUTANGA,PE,0.606,0.57,0.76,0.514
5306,260370,CANHOTINHO,PE,0.541,0.543,0.725,0.403
5209,260380,CAPOEIRAS,PE,0.549,0.529,0.746,0.419
4562,260390,CARNAÍBA,PE,0.583,0.54,0.727,0.505
4786,260392,CARNAUBEIRA DA PENHA,PE,0.573,0.491,0.755,0.508
2439,260400,CARPINA,PE,0.68,0.63,0.806,0.619
2503,260410,CARUARU,PE,0.677,0.681,0.799,0.569
4903,260415,CASINHAS,PE,0.567,0.518,0.721,0.489
3927,260420,CATENDE,PE,0.609,0.578,0.76,0.515
3796,260430,CEDRO,PE,0.615,0.565,0.717,0.573
4055,260440,CHÃ DE ALEGRIA,PE,0.604,0.546,0.762,0.529
4167,260450,CHÃ GRANDE,PE,0.599,0.603,0.803,0.443
4101,260460,CONDADO,PE,0.602,0.581,0.713,0.527
5354,260470,CORRENTES,PE,0.536,0.551,0.726,0.385
4884,260480,CORTÊS,PE,0.568,0.541,0.707,0.478
4802,260490,CUMARU,PE,0.572,0.553,0.72,0.47
4331,260500,CUPIRA,PE,0.592,0.601,0.763,0.453
4284,260510,CUSTÓDIA,PE,0.594,0.607,0.706,0.489
4416,260515,DORMENTES,PE,0.589,0.558,0.741,0.495
3448,260520,ESCADA,PE,0.632,0.594,0.781,0.543
4718,260530,EXU,PE,0.576,0.543,0.775,0.454
4144,260540,FEIRA NOVA,PE,0.6,0.581,0.807,0.46
76,260545,FERNANDO DE NORONHA,PE,0.788,0.781,0.839,0.748
3653,260550,FERREIROS,PE,0.622,0.589,0.787,0.519
5116,260560,FLORES,PE,0.556,0.544,0.745,0.423
3561,260570,FLORESTA,PE,0.626,0.588,0.775,0.538
4718,260580,FREI MIGUELINHO,PE,0.576,0.575,0.758,0.438
4101,260590,GAMELEIRA,PE,0.602,0.541,0.759,0.532
2802,260600,GARANHUNS,PE,0.664,0.662,0.795,0.556
4055,260610,GLÓRIA DO GOITÁ,PE,0.604,0.57,0.765,0.506
3090,260620,GOIANA,PE,0.651,0.614,0.779,0.576
4255,260630,GRANITO,PE,0.595,0.543,0.773,0.502
3407,260640,GRAVATÁ,PE,0.634,0.63,0.794,0.51
5408,260650,IATI,PE,0.528,0.518,0.768,0.369
5169,260660,IBIMIRIM,PE,0.552,0.533,0.706,0.446
4638,260670,IBIRAJUBA,PE,0.58,0.545,0.753,0.476
2776,260680,IGARASSU,PE,0.665,0.622,0.781,0.606
4198,260690,IGUARACI,PE,0.598,0.58,0.77,0.48
3055,260760,ILHA DE ITAMARACÁ,PE,0.653,0.627,0.809,0.548
5444,260700,INAJÁ,PE,0.523,0.503,0.711,0.4
3957,260710,INGAZEIRA,PE,0.608,0.575,0.766,0.51
3721,260720,IPOJUCA,PE,0.619,0.613,0.774,0.499
5194,260730,IPUBI,PE,0.55,0.541,0.712,0.433
4255,260740,ITACURUBA,PE,0.595,0.567,0.712,0.523
5500,260750,ITAÍBA,PE,0.51,0.531,0.688,0.364
4742,260765,ITAMBÉ,PE,0.575,0.566,0.727,0.463
4331,260770,ITAPETIM,PE,0.592,0.598,0.704,0.494
3433,260775,ITAPISSUMA,PE,0.633,0.589,0.764,0.564
4495,260780,ITAQUITINGA,PE,0.586,0.554,0.715,0.509
1398,260790,JABOATÃO DOS GUARARAPES,PE,0.717,0.692,0.83,0.642
4742,260795,JAQUEIRA,PE,0.575,0.557,0.751,0.454
5395,260800,JATAÚBA,PE,0.53,0.549,0.712,0.381
3201,260805,JATOBÁ,PE,0.645,0.604,0.775,0.573
4718,260810,JOÃO ALFREDO,PE,0.576,0.569,0.72,0.466
5146,260820,JOAQUIM NABUCO,PE,0.554,0.561,0.676,0.449
5194,260825,JUCATI,PE,0.55,0.541,0.681,0.451
4742,260830,JUPI,PE,0.575,0.56,0.698,0.487
5502,260840,JUREMA,PE,0.509,0.522,0.681,0.372
4101,260850,LAGOA DE ITAENGA,PE,0.602,0.555,0.774,0.509
3927,260845,LAGOA DO CARRO,PE,0.609,0.566,0.789,0.505
5432,260860,LAGOA DO OURO,PE,0.525,0.536,0.733,0.369
5186,260870,LAGOA DOS GATOS,PE,0.551,0.555,0.725,0.416
4215,260875,LAGOA GRANDE,PE,0.597,0.581,0.705,0.52
3884,260880,LAJEDO,PE,0.611,0.599,0.758,0.503
2828,260890,LIMOEIRO,PE,0.663,0.628,0.797,0.583
3927,260900,MACAPARANA,PE,0.609,0.571,0.778,0.508
4670,260910,MACHADOS,PE,0.578,0.541,0.767,0.466
5547,260915,MANARI,PE,0.487,0.477,0.682,0.354
5366,260920,MARAIAL,PE,0.534,0.541,0.698,0.403
4372,260930,MIRANDIBA,PE,0.591,0.512,0.769,0.525
4144,261430,MOREILÂNDIA,PE,0.6,0.522,0.768,0.54
3070,260940,MORENO,PE,0.652,0.61,0.805,0.564
2846,260950,NAZARÉ DA MATA,PE,0.662,0.608,0.789,0.604
897,260960,OLINDA,PE,0.735,0.704,0.836,0.675
3902,260970,OROBÓ,PE,0.61,0.545,0.787,0.528
3902,260980,OROCÓ,PE,0.61,0.536,0.766,0.553
